category	id	description	remark
spatial	reach-config	Bring the controllable (or pieces) into a target spatial configuration.	v001 goal_form reach-config; covers reach-object/enter-region/place-adjacent/align-line in goal_patterns; MERGE: v001 land-target folded here (continuous-physics landing is the same reach-a-target-cell, distinguished by world_signature not goal)
spatial	cover-all	Cover/visit every cell (or every required object) once.	v001 goal_form cover-all; used by gp-multi-deliver; self-avoiding coverage (Snake) and multi-goal delivery both reduce to satisfy-for-all-targets
spatial	enclose-area	Enclose / separate a region (claim or partition territory).	v001 goal_form enclose-area; Qix/paper.io/Go-territory/Tron-chamber; kept distinct from cover-all (boundary vs interior)
structure	tile-exact	Tile a region exactly with a piece set, no overlap or gap.	v001 goal_form tile-exact; MERGE: v001 match-edges folded here as an edge-constrained tiling variant (see solver edge_matching)
structure	pack-fill	Pack all pieces / maximize fill under a container capacity.	v001 goal_form pack-fill; distinct from tile-exact (capacity/optimization, gaps allowed)
structure	satisfy-constraints	Satisfy cell/line/all-different/symmetry/connectivity constraints.	v001 goal_form satisfy-constraints; used by gp-exists-match, gp-symmetry; MERGE: match-edges-as-CSP folds here; connectivity flavor carried by world_signature, not a separate goal_kind
structure	connect-flow	Connect required endpoints/sides into one network (paths, trees, cuts).	v001 goal_form connect/flow (NAME normalized slash to kebab); kept separate from satisfy-constraints because spanning-tree/steiner/cut-connect/disjoint-paths win on a connectivity objective, not a per-cell predicate
order	pair-assign	Pair up tokens / assign one set to another (bipartite).	v001 goal_form pair-assign; used by gp-attr-match-pair
order	reach-permutation	Reach a target permutation via reversible generators.	v001 goal_form reach-permutation; Rubik/pancake/token-swap
order	sort-bins	Sort/route items into their correct bins.	v001 goal_form sort-bins; ball/water-sort; listed by shortest_path (post-settle search)
attribute	clear-match	Remove matched objects to empty/clear the board.	v001 goal_form clear-match; used by gp-clear-all; covers match-removal (Mahjong-solitaire) and match-to-clear cascades
quantity	reach-number	Reach a specific target number/value.	v001 goal_form reach-number; 2048/Threes; kept separate from count-parity-mod (moving numeric target under stochastic transitions vs a static arithmetic invariant)
quantity	count-parity-mod	Satisfy a count / parity / modular / closed-form invariant.	v001 goal_form count/parity/mod (NAME normalized slash to kebab; matches goal_patterns gp-count-parity draft id); used by gp-count-parity
attribute	deduce-hidden	Deduce hidden state via constraints + active probes.	v001 goal_form deduce-hidden; Minesweeper/Mastermind; bucketed attribute (the unknown is an attribute/state to pin down); ties to Probe + verification_horizon
resource	optimize-resource	Optimize an objective under a budget / throughput / gauge.	v001 goal_form optimize-resource; used by gp-threshold-survive; resource = AbstractSituation.move_budget (per gp remark)
survival	survive-hazard	Stay alive against threats/hazards; reach safety first.	COINED: v001 has no single goal_form for bare survival (implicit in traverse-physics + map-control families danger_map/reachability_timed_denial/pursuit_evasion); needed so those solvers goal_kinds resolve
survival	force-win	Force a win / mate-in-N against an adversary.	v001 goal_form force-win; CONDITIONAL (adversary present); ARC-AGI-3 is mostly single-agent
spatial	traverse-physics	Traverse via jumps/gravity/momentum to reach a goal + subgoals.	v001 goal_form traverse-physics; platformers/racing; bucketed spatial (the win is positional reach; physics is world_signature)
spatial	route-flock	Route a passive/autonomous flock to a goal (open-loop control).	v001 goal_form route-flock; Lemmings/ChuChu; bucketed spatial
structure	replicate-template	Reproduce a reference pattern/template into one or more target regions (copy/mirror/transfer cells until each target region matches the reference).	MOTIVATED by tu93/sc25/vc33/m0r0/ka59/dc22/lf52/bp35 (humans copy a shown template into blank target cells/regions). MECE: distinct from satisfy-constraints (per-cell CSP) and tile-exact (piece packing) — here the win is 'target region equals a given reference object', a holistic region-equality, not a per-cell or packing predicate. Category=structure (region-level structural equality). EXPRESSIBLE: matches(target, reference) over a reference role (see roles.tsv). active pattern gp-replicate-template depends on this kind.
