id	goal_kind	predicate	solver_kinds	form	distance_src	origin	status	remark
gp-orient-deliver	reach-config	and(orientation-match(carried-state, target), overlaps(controllable, target))	shortest_path;gated_reachability	Synthesis	orientation-match	builtin	active	ls20 L1/L2/L7: match carried orientation then deliver onto goal cell; graded gradient via orientation-match
gp-attr-deliver-into	reach-config	and(matches(carried-state, target), inside(controllable, target))	shortest_path;gated_reachability	Synthesis	boolean	builtin	active	ls20 L3-L5: match shape+colour then deliver INTO box; NOTE matches is PROVISIONAL/axis-blind (operators.md:61), to be axis-refined in stage3
gp-multi-deliver	cover-all	forall(box, and(matches(carried-state, box), inside(controllable, box)))	gated_reachability;composite	Synthesis	boolean	builtin	active	ls20 L6: deliver to EVERY goal box, each gated by attribute match; box=bound quantifier var (operands[0] of forall)
gp-reach-object	reach-config	overlaps(controllable, target)	shortest_path	Concrete	boolean	builtin	active	instrumental ReachObject: reach/touch target
gp-enter-region	reach-config	inside(controllable, target)	shortest_path;gated_reachability	Concrete	boolean	builtin	active	get avatar fully inside a region (no attribute gate)
gp-place-adjacent	reach-config	adjacent(controllable, target)	shortest_path	Concrete	boolean	builtin	active	stop next to target (4-touching)
gp-align-line	reach-config	collinear(controllable, target)	shortest_path	Concrete	boolean	builtin	active	line avatar up with target (row/col/diagonal); was 46-doc ALIGN
gp-exists-match	satisfy-constraints	exists(obj, matches(obj, target))	csp;deduction	Deduction	boolean	builtin	active	some object in range matches target; obj=bound quantifier var (operands[0] of exists)
gp-place-inside-match	reach-config	and(matches(carried-state, target), overlaps(controllable, target))	shortest_path;gated_reachability	Synthesis	boolean	builtin	active	discrete-attribute analogue of gp-orient-deliver (cell coincidence variant): match attribute then occupy goal cell
gp-avoid-target	survive-hazard	not(overlaps(controllable, hazard))	danger_map;reachability_timed_denial	Concrete	boolean	builtin	active	bare hazard-avoidance constraint: keep the controllable off the target (no-contact); not(overlaps) over controllable+target (operators.md not + overlaps). Often AND-composed with a reach goal at runtime; shipped standalone so the survive-hazard solvers have a predicate
gp-reach-any-target	reach-config	exists(t, overlaps(controllable, t))	shortest_path	Concrete	boolean	builtin	active	reach ANY one of a target set (e.g. any exit/any goal cell); t=bound quantifier var (operands[0] of exists), range = target objects bound by AnalogizeRoles. exists+overlaps; distinct from gp-reach-object (single fixed target)
gp-cover-all-targets	cover-all	forall(t, overlaps(controllable, t))	hamiltonian;gated_reachability	Synthesis	boolean	builtin	active	visit/touch EVERY target (ungated coverage); t=bound quantifier var. forall+overlaps; distinct from gp-multi-deliver (which AND-gates each target by an attribute match) — this is pure self-avoiding coverage (Snake/collect-all)
gp-deliver-adjacent-match	reach-config	and(matches(carried-state, target), adjacent(controllable, target))	shortest_path;gated_reachability	Synthesis	boolean	builtin	active	carry the matching state then dock BESIDE the target (4-touching, not onto/into); matches(carried-state,target)+adjacent(controllable,target). Distinct from gp-place-adjacent (no attribute gate) and gp-place-inside-match (overlaps not adjacent)
gp-set-ref-match	satisfy-constraints	matches(ref, target)	deduction;gated_reachability	Synthesis	boolean	builtin	active	drive a remote status object (ref) to the goal state: the win reads ref's attribute against target (ref changed by an interactor on contact, not moved by the agent). matches(ref,target) over the ref+target roles (roles.tsv ref = and(has(interactive-target), not(has(controllable))))
gp-set-all-refs-match	satisfy-constraints	forall(r, matches(r, target))	csp;deduction	Synthesis	boolean	builtin	active	set EVERY status object to the goal state (set/clear-all-of-kind via remote interaction); r=bound quantifier var ranging over ref objects. forall+matches; multi-ref analogue of gp-set-ref-match
gp-attr-match-pair	pair-assign	TODO: needs a peer/counterpart role (self_a,self_b) — see role-pending	matching;csp	Contrast	boolean	builtin	deferred(role-pending)	two peer objects agree on an attribute axis (memory-pairs/assignment); peer role not in roles.tsv
gp-clear-all	clear-match	TODO: needs a presence/count operator (none in the 14)	matching;tile_clear_solvability;cascade_sim	Abstract	boolean	builtin	deferred(operator-pending)	clear/empty the board
gp-count-parity	count-parity-mod	TODO: needs a COUNT/threshold operator	modular_arith;csp	Abstract	boolean	builtin	deferred(operator-pending)	tally/parity/MOD goals; goal_kind 'count-parity-mod' is the FK id into goal_kinds.tsv (kebab-normalized from v001 goal_form 'count/parity/mod')
gp-symmetry	satisfy-constraints	TODO: needs a SYMMETRY operator	csp;sat_graph	Abstract	boolean	builtin	deferred(operator-pending)	ARC-classic region symmetry
gp-threshold-survive	optimize-resource	TODO: needs a THRESHOLD operator; resource = AbstractSituation.move_budget not a predicate	stochastic_dp;danger_map	Abstract	boolean	builtin	deferred(operator-pending)	survive/accumulate a gauge
gp-replicate-template	replicate-template	matches(target, reference)	csp;composite	Synthesis	boolean	builtin	active	Make a target region come to MATCH a shown reference/template. matches(target,reference) over target + the reference role. MOTIVATED by tu93 (replicate glyph blocks), sc25 (copy template into mirrored cell), vc33 (copy left grid into right region). CONFIDENCE medium-high (multiple human plays clearly copy a shown pattern). NOTE: matches is PROVISIONAL/axis-blind (operators.md:63) so this currently means 'shares a feature' not 'cell-exact equal' — a cell-exact region-equality operator is in the backlog; until then this is the closest expressible approximation. 12-forms tag: Synthesis (build a state to match a referent). Depends on the reference role (roles.tsv, category referent); the B1 category-aware classifier places reference in the relational Wave C so it cannot pre-empt target.
gp-replicate-all-regions	replicate-template	forall(t, matches(t, reference))	csp;composite	Synthesis	boolean	builtin	active	Make EVERY target region match the reference (multi-region copy). forall(t, matches(t,reference)); t = bound quantifier var over target regions (operands[0] of forall), same range-binding convention as gp-multi-deliver/gp-cover-all-targets. MOTIVATED by tu93 (many cells reproduce the same motif), dc22/ka59 (repeated sub-pattern across regions), m0r0 (both chambers carry the matching edit). CONFIDENCE medium. Multi-region analogue of gp-replicate-template. 12-forms tag: Synthesis. Depends on the reference role (roles.tsv, category referent); the B1 category-aware classifier places reference in the relational Wave C so it cannot pre-empt target.
gp-concentric	satisfy-constraints	concentric(controllable, target)	csp;deduction	Concrete	boolean	builtin	active	Co-center the controllable on a target region (box-with-center / nested-ring goal). concentric(controllable, target) over the shipped controllable + target roles. MOTIVATED by re86 (box-with-center glyphs, render-confirmed), g50t (rings), cd82 (nested), tr87/m0r0. rel_concentric = boolean geometry leaf (footprint centroids within half a cell). solver csp/deduction shipped FKs. CONFIDENCE medium (operator solid; the avatar-co-centering goal grounding is medium).
