category	id	goal_kinds	world_signature	verification_horizon	backend	parts	algorithm	description	remark
path-search	shortest_path	reach-config;sort-bins	reversible, bounded-branch, search post-settle (discrete physics)	med	SearchHeuristic		BFS/Dijkstra/A*/IDA*/bidirectional + pattern-DB	Shortest path to a target config over a reversible bounded graph.	v001 lib networkx,heapq; ex maze/15-puzzle/Rush Hour/ball-water-sort/gravity-ice; round1. Discrete physics = search POST-settle states. The ONLY concretely-grounded solver (domain-model:463 navigate/position axis runs on ConcreteSituation; others abstract)
path-search	sokoban_push	reach-config	irreversible pushes; deadlock states	high	SearchHeuristic		A*/PSPACE search + corner/freeze/PI-corral deadlock tables	Push crates to goals avoiding deadlocks.	v001 lib custom+heapq; ex Sokoban/Lolo/Boxxle; round2
path-search	time_expanded_crossing	reach-config	obstacles on fixed periodic schedules	med	SearchHeuristic		time-expanded graph node=(cell,t), edge iff free at t+1	Reach target through periodic moving hazards.	v001 lib networkx layered DiGraph; ex Frogger/Freeway; round2. goal_form reach-target-through-periodic-hazards normalized to reach-config
path-search	dynamic_replan	reach-config	edges/obstacles change as you act (mutable map)	med	SearchHeuristic	shortest_path	incremental search D*-Lite / LPA*	Replan a path on a mutating map.	v001 lib custom; ex Dig Dug/editable terrain; round2. CONDITIONAL: v001 modifier on shortest_path (parts=shortest_path, self-FK)
region	hamiltonian	cover-all	self-collision is the hazard	high	SearchHeuristic		Hamiltonian path/cycle (Prim spanning-tree to cycle) + shortcut/repair	Cover all cells by one self-avoiding path.	v001 lib networkx,custom; ex Snake/Nibbler/coverage-Pac-Man; round1. goal_form cover-all-cells-by-self-avoiding-path normalized to cover-all
region	region_fill	enclose-area;cover-all	connectivity-structured	low-med	SearchHeuristic		flood-fill, connected-components, articulation-points, fill-holes	Enclose/cover/separate a region via connectivity ops.	v001 lib scipy.ndimage,networkx; ex Qix/paper.io/Go/Tron; round1. TRAP: surface fill/toggle can actually be gf2_linear - key on commutative-toggle not appearance
region	flood_merge_rag	enclose-area	region-adjacency graph; flood contracts same-color neighbors	med	SearchHeuristic		RAG contraction + eccentricity bound + IDA*/beam	Recolor whole board to one color in <=N floods.	v001 lib networkx; ex Flood-It/Kami; round2. goal_form recolor-whole-board-to-one-color bucketed enclose-area (whole-board region unification); goal_kind fit is loose
region	area_control	enclose-area	adversarial space, simultaneous	med	SearchHeuristic		Voronoi (multi-source BFS) + articulation-point pruning + minimax	Maximize own reachable area vs opponent.	v001 lib scipy.ndimage,networkx; ex Tron/splix.io; round1. CONDITIONAL (adversary)
region	cut_connect	connect-flow	planar graph (connect-sides <=> separate-opponent dual)	med	SearchHeuristic		max-flow / min-cut	Connect sides (or sever opponent) via min-cut duality.	v001 lib networkx minimum_cut; ex Hex/Bridg-It; round1. CONDITIONAL (adversary)
region	flow_blocking	connect-flow	you place obstacles; enemy pathfinds (budget)	med	SearchHeuristic		min-cut / shortest-path interdiction + greedy under budget	Place obstacles to sever/lengthen an adversary path.	v001 lib networkx; ex Tower Defense mazing; round2. CONDITIONAL (adversary)
tiling	exact_cover	tile-exact	finite piece set x rotations/translations	high	ConstrainedGenerator		exact cover via Algorithm X / Dancing Links (DLX)	Tile a region with a fixed piece set, no overlap/gap.	v001 lib dlx,ortools(AddExactlyOne); ex pentomino/tangram/Soma/Sudoku-as-cover; round1
tiling	packing	pack-fill	container + piece set	med-high	ConstrainedGenerator		bin-packing heuristics (BLF/maxrect/FFD) to ILP/CP	Pack all / maximize fill under capacity.	v001 lib rectpack,ortools,py3dbp; ex Blokus/2D-3D-packing; round1. backend: heuristic phase is search-like but optimal phase is ILP/CP synthesis (dominant exact op)
tiling	falling_block_packing	tile-exact;clear-match	gravity + next-piece queue (real-time)	low-med	Simulator		rotation x column placement search + line-clear/hole heuristics (Dellacherie)	Place falling pieces to clear lines under gravity.	v001 lib custom+beam; ex Tetris/Columns/Dr.Mario-layout; round2. backend=Simulator (forward gravity/line-clear sim drives scoring)
tiling	edge_matching	tile-exact	tiles with 4 edge-signatures	high	ConstrainedGenerator		CSP/SAT + forward-checking + pairwise assignment	Place tiles so adjacent edges match.	v001 lib z3,pysat,scipy linear_sum_assignment; ex jigsaw/Eternity-II; round1. carries v001 match-edges goal_form (MERGED into tile-exact); sole solver if match-edges restored
constraint	csp	satisfy-constraints	finite-domain variables	high	ConstrainedGenerator		AC-3 propagation + backtracking	Satisfy cell/line/all-different constraints.	v001 lib python-constraint,ortools(CP-SAT); ex Sudoku/Kakuro/KenKen/nonogram; round1
constraint	sat_graph	satisfy-constraints;connect-flow	edge/cell booleans on a graph; reachability/degree	high	ConstrainedGenerator		SAT/CP + circuit/reachability + subtour/connectivity cuts	Single loop/path/region/flow under connectivity.	v001 lib pysat,z3,ortools(AddCircuit); ex Slitherlink/Masyu/Nurikabe/Hashi/Pipe; round1. connectivity is a cross-cutting modifier (adds subtour cuts onto csp)
constraint	vertex_disjoint_paths	connect-flow	multi-commodity, disjoint, space-filling	high	ConstrainedGenerator		k vertex-disjoint paths / multi-commodity flow via SAT/CP	Connect all same-color endpoint pairs, disjoint, fill grid.	v001 lib pysat,ortools; ex Numberlink/Flow Free; round2
constraint	spanning_tree	connect-flow	tree over a grid/graph	low	SearchHeuristic		Prim / Kruskal / Wilson loop-erased walk	Connect all cells/nodes acyclically (perfect maze).	v001 lib networkx minimum_spanning_tree; ex maze-gen/connect-all; round2. backend: greedy tree-build = SearchHeuristic (no constraint-engine)
constraint	steiner_tree	connect-flow	weighted graph, mandatory+optional nodes	med	SearchHeuristic		Steiner tree approx (Kou/Mehlhorn); rectilinear-Steiner	Connect a required subset with min wire (optional relays).	v001 lib networkx approximation.steiner_tree; ex wire/net routing; round2
constraint	graph_coloring	satisfy-constraints	conflict graph (planar/interval/hypergraph)	med	ConstrainedGenerator		greedy / DSATUR / backtracking; t-coloring & conflict-free	Conflict-free proper coloring (k colors).	v001 lib networkx greedy_color,ortools; ex map-4-color/frequency/timetabling; round2. backend: greedy variant is search but canonical exact form is CP synthesis
