category	id	part_of_speech	description	slot	impl_key	params	remark
axis	color	noun	color axis / 色という軸そのもの	color		axis=true	builtin; category-Word (axis), not a value
axis	shape	noun	shape axis / 形という軸そのもの	head		axis=true	builtin; category-Word (axis); head-noun slot
axis	behavior	noun	behavior/dynamics axis / 挙動という軸そのもの	behavior		axis=true	builtin; category-Word (axis)
color	black	adjective	black / 黒	color	feat_color	index=0	builtin; name from tools/inspector/make_sample_trace.py COLOR_NAMES (index-ordered ARC palette)
color	blue	adjective	blue / 青	color	feat_color	index=1	builtin; name source = make_sample_trace.py COLOR_NAMES
color	red	adjective	red / 赤	color	feat_color	index=2	builtin; name source = make_sample_trace.py COLOR_NAMES
color	green	adjective	green / 緑	color	feat_color	index=3	builtin; name source = make_sample_trace.py COLOR_NAMES
color	yellow	adjective	yellow / 黄	color	feat_color	index=4	builtin; name source = make_sample_trace.py COLOR_NAMES
color	grey	adjective	grey / 灰	color	feat_color	index=5	builtin; name source = make_sample_trace.py COLOR_NAMES
color	magenta	adjective	magenta / マゼンタ	color	feat_color	index=6	builtin; name source = make_sample_trace.py COLOR_NAMES
color	orange	adjective	orange / 橙	color	feat_color	index=7	builtin; name source = make_sample_trace.py COLOR_NAMES
color	cyan	adjective	cyan / シアン	color	feat_color	index=8	builtin; name source = make_sample_trace.py COLOR_NAMES
color	maroon	adjective	maroon / 栗色	color	feat_color	index=9	builtin; name source = make_sample_trace.py COLOR_NAMES
color	pink	adjective	pink / 桃	color	feat_color	index=10	builtin; name source = make_sample_trace.py COLOR_NAMES
color	lime	adjective	lime / ライム	color	feat_color	index=11	builtin; name source = make_sample_trace.py COLOR_NAMES
color	teal	adjective	teal / 青緑	color	feat_color	index=12	builtin; name source = make_sample_trace.py COLOR_NAMES
color	purple	adjective	purple / 紫	color	feat_color	index=13	builtin; name source = make_sample_trace.py COLOR_NAMES
color	brown	adjective	brown / 茶	color	feat_color	index=14	builtin; name source = make_sample_trace.py COLOR_NAMES
color	white	adjective	white / 白	color	feat_color	index=15	builtin; name source = make_sample_trace.py COLOR_NAMES
